author,title,url,category,tags,replies,views,last_activity,scraped_at
ScottMacco,Filing IP Trademark/Copyright/Patent infringements on AliExpress or Alibaba?,/t/filing-ip-trademark-copyright-patent-infringements-on-aliexpress-or-alibaba/72274,Legal,"['copyright', 'intell-prop-ip', 'trademarks']",14,140,2h,2025-06-02T13:23:05.650688
Erich Jackson,Retention Email Specialist Needed,/t/retention-email-specialist-needed/85181,Email Marketing,[],7,106,3h,2025-06-02T13:23:05.650689
Dana Eriksson,Welcome Tyler Westpfahl - Building Big with a Small-but-Mighty Team,/t/welcome-tyler-westpfahl-building-big-with-a-small-but-mighty-team/86867,Delta Cohort,[],4,13,2h,2025-06-02T13:23:05.650695
Dana Eriksson,Welcome Back Tal Atid - Flooring Legend Turned Food Trailblazer,/t/welcome-back-tal-atid-flooring-legend-turned-food-trailblazer/86896,Delta Cohort,[],3,9,2h,2025-06-02T13:23:05.650697
Dana Eriksson,Welcome Ted Mueller - Mastermind Behind Custom Gifting Made Easy,/t/welcome-ted-mueller-mastermind-behind-custom-gifting-made-easy/86865,Delta Cohort,[],4,11,2h,2025-06-02T13:23:05.650698
Dana Eriksson,Welcome Curt Lee - Bath Mat Boss & Marketplace Pro,/t/welcome-curt-lee-bath-mat-boss-marketplace-pro/86866,Delta Cohort,[],2,8,2h,2025-06-02T13:23:05.650699
Dana Eriksson,"Welcome Tristan Broughton - Suds, Smarts, and a Cleaner Supply Chain",/t/welcome-tristan-broughton-suds-smarts-and-a-cleaner-supply-chain/86776,Delta Cohort,[],4,14,2h,2025-06-02T13:23:05.650700
Dana Eriksson,Welcome Anthony Martin - A Century of Health Innovation,/t/welcome-anthony-martin-a-century-of-health-innovation/86738,Delta Cohort,[],7,17,2h,2025-06-02T13:23:05.650701
Dana Eriksson,Welcome Kyle Czarnecki - From Backyard Game to Viral Fame,/t/welcome-kyle-czarnecki-from-backyard-game-to-viral-fame/86793,Delta Cohort,[],5,11,2h,2025-06-02T13:23:05.650703
Dana Eriksson,"Welcome Kody Lukens - Wearable Calm, Bootstrapped Brilliance",/t/welcome-kody-lukens-wearable-calm-bootstrapped-brilliance/86801,Delta Cohort,[],4,12,2h,2025-06-02T13:23:05.650706
Dana Eriksson,Welcome James Bertram - Keeping Performance Sparkling at Abbott Lyon,/t/welcome-james-bertram-keeping-performance-sparkling-at-abbott-lyon/86799,Delta Cohort,[],3,7,2h,2025-06-02T13:23:05.650707
Dana Eriksson,Welcome Jason Piller - Splashing Innovation Into the Golf World,/t/welcome-jason-piller-splashing-innovation-into-the-golf-world/86794,Delta Cohort,[],3,8,2h,2025-06-02T13:23:05.650712
Dana Eriksson,Welcome Abbas Dar - Tracking Success From Kickstarter to Connected Tech,/t/welcome-abbas-dar-tracking-success-from-kickstarter-to-connected-tech/86772,Delta Cohort,[],3,11,2h,2025-06-02T13:23:05.650713
Dana Eriksson,Welcome Hilal Kanafani - Powering Up Comfort for Gamers & Crafters Alike,/t/welcome-hilal-kanafani-powering-up-comfort-for-gamers-crafters-alike/86769,Delta Cohort,[],4,11,2h,2025-06-02T13:23:05.650715
Dana Eriksson,Welcome Joey Bryja - Throwing Big Wins into the eCom Ring,/t/welcome-joey-bryja-throwing-big-wins-into-the-ecom-ring/86768,Delta Cohort,[],3,8,3h,2025-06-02T13:23:05.650716
Dana Eriksson,Welcome Isaac Mertens - Lacing Up Big Growth with Flux,/t/welcome-isaac-mertens-lacing-up-big-growth-with-flux/86765,Delta Cohort,[],3,8,3h,2025-06-02T13:23:05.650717
Dana Eriksson,"Welcome Brendan Hastings - Scaling Tech, Teams & Tulle With Birdy Grey",/t/welcome-brendan-hastings-scaling-tech-teams-tulle-with-birdy-grey/86761,Delta Cohort,[],3,13,3h,2025-06-02T13:23:05.650718
Dana Eriksson,"Welcome Mike Ettenberg - Bringing Clarity to First Responders, One Pair at a Time",/t/welcome-mike-ettenberg-bringing-clarity-to-first-responders-one-pair-at-a-time/86792,Delta Cohort,[],4,17,3h,2025-06-02T13:23:05.650719
